"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment"
"OS","NDUFAB1","ICB_Ravi__Lung__PD-L1",0.0385252405865467,0.117593241811741,125,0.743203224827835,"Lung","PD-L1"
"OS","PDK4","ICB_Ravi__Lung__PD-L1",-0.0538663832277852,0.108527915018232,125,0.619656903064212,"Lung","PD-L1"
"OS","SLC22A16","ICB_Ravi__Lung__PD-L1",-0.0203364604743573,0.116697298281017,125,0.861655818467528,"Lung","PD-L1"
"OS","ZMYND10","ICB_Ravi__Lung__PD-L1",0.0611634339501436,0.130200907741628,125,0.638525093068131,"Lung","PD-L1"
"OS","ABCB5","ICB_Ravi__Lung__PD-L1",0.130501872506592,0.124863943679351,125,0.295952457333917,"Lung","PD-L1"
"OS","ARX","ICB_Ravi__Lung__PD-L1",-0.0464132404224413,0.124912787378833,125,0.710216629490914,"Lung","PD-L1"
"OS","SLC25A13","ICB_Ravi__Lung__PD-L1",0.0192040197553695,0.126553817064543,125,0.879387372786717,"Lung","PD-L1"
"OS","ST7","ICB_Ravi__Lung__PD-L1",0.0183850451732222,0.116788415622387,125,0.874912416417683,"Lung","PD-L1"
"OS","CDC27","ICB_Ravi__Lung__PD-L1",0.131870266604601,0.115548138254154,125,0.253762468512789,"Lung","PD-L1"
"OS","SLC4A1","ICB_Ravi__Lung__PD-L1",0.0824339059180978,0.134405277716054,125,0.539662504178648,"Lung","PD-L1"
"OS","CALCR","ICB_Ravi__Lung__PD-L1",-0.0935101322150928,0.112462838188626,125,0.405704874360202,"Lung","PD-L1"
"OS","HCCS","ICB_Ravi__Lung__PD-L1",0.00675934893171267,0.122407166699906,125,0.955963031625263,"Lung","PD-L1"
"OS","DVL2","ICB_Ravi__Lung__PD-L1",0.0646403666061234,0.126811836417741,125,0.610237487244005,"Lung","PD-L1"
"OS","PRSS22","ICB_Ravi__Lung__PD-L1",0.0911131154454049,0.125994447413635,125,0.469586608218353,"Lung","PD-L1"
"OS","UPF1","ICB_Ravi__Lung__PD-L1",0.0762612210200539,0.126597027308411,125,0.546912263817063,"Lung","PD-L1"
"OS","SKAP2","ICB_Ravi__Lung__PD-L1",-0.00848785601199191,0.107849975373535,125,0.937270781210763,"Lung","PD-L1"
"OS","SLC25A5","ICB_Ravi__Lung__PD-L1",-0.0524112548015216,0.114489371911499,125,0.647108559688564,"Lung","PD-L1"
"OS","CCDC109B","ICB_Ravi__Lung__PD-L1",-0.109502575267454,0.0991578990437731,125,0.269452057659046,"Lung","PD-L1"
"OS","HOXA11","ICB_Ravi__Lung__PD-L1",-0.00756802286883973,0.122344584066613,125,0.950675708946511,"Lung","PD-L1"
"OS","POLR2J","ICB_Ravi__Lung__PD-L1",0.117765354107176,0.144159946216568,125,0.413981240495689,"Lung","PD-L1"
"OS","DHX33","ICB_Ravi__Lung__PD-L1",-0.00373527842378491,0.121716640944088,125,0.975518111326676,"Lung","PD-L1"
